,trading_item_id,pricing_date,open,high,low,mid,close,bid,ask,volume,adjustment_factor,split_adjustment_factor,dividend_adjustment,vwap
0,6179710,2011-05-02,111.33545134009499,111.42479911603,110.42572853057499,110.6490979704125,110.64503670787,110.64503670787,110.65315923295499,126310033.0,,1.0,0.8122525085,110.86434488516501
1,6179710,2011-05-03,110.43385105566,110.62066913261499,109.6906400103825,110.2429717161625,110.247032978705,110.23891045362,110.247032978705,138445808.0,,1.0,0.8122525085,110.133317627515
2,6179710,2011-05-04,110.198297828195,110.247032978705,109.02865421595499,109.5200669835975,109.51600572105501,109.51600572105501,109.52412824614001,182821163.0,,1.0,0.8122525085,109.63784359732999
3,6179710,2011-05-05,108.90681633968,109.61347602207499,108.04582868067001,108.5453639733975,108.52505766068501,108.54130271085499,108.54942523593999,227065699.0,,1.0,0.8122525085,109.02865421595499
4,6179710,2011-05-06,109.60535349698999,110.165807727855,108.20827918236999,108.98398032798751,109.00428664069999,108.97991906544499,108.98804159053,222951264.0,,1.0,0.8122525085,109.645966122415
5,6179710,2011-05-09,108.996164115615,109.74343642343501,108.82559108883,109.4388417327475,109.42665794512,109.434780470205,109.44290299529001,114134435.0,,1.0,0.8122525085,109.19110471765501
6,6179710,2011-05-10,109.79217157394498,110.55568893193501,109.6540886475,110.3729321175225,110.360748329895,110.36887085498,110.37699338006499,114886994.0,,1.0,0.8122525085,109.9789896509
7,6179710,2011-05-11,110.198297828195,110.214542878365,108.69563068747,109.21141103036751,109.19922724274,109.207349767825,109.21547229291001,193745610.0,,1.0,0.8122525085,109.47539309563
8,6179710,2011-05-12,108.90681633968,109.94649955056,108.34636210881499,109.7393751608925,109.71906884818002,109.73531389835,109.74343642343501,171648128.0,,1.0,0.8122525085,109.18298219257
9,6179710,2011-05-13,109.775926523775,109.93025450039,108.48444503526,108.8621424517125,108.87432623934,108.85808118917001,108.86620371425501,157499081.0,,1.0,0.8122525085,109.06114431629501
10,6179710,2011-05-16,108.48444503526,109.33731016918502,108.005216055245,108.19609539474251,108.183911607115,108.19203413219999,108.200156657285,141770642.0,,1.0,0.8122525085,108.47632251017501
11,6179710,2011-05-17,107.777785352865,108.313872008475,107.31480142302,108.1798503445725,108.167666556945,108.17578908203001,108.183911607115,192852310.0,,1.0,0.8122525085,107.81839797829001
12,6179710,2011-05-18,108.22452423254,109.24796239325,107.98897100507499,109.1464308296875,109.13424704206001,109.14236956714501,109.15049209223,135228138.0,,1.0,0.8122525085,108.606282911535
13,6179710,2011-05-19,109.49163814580001,109.678456222755,108.79310098849,109.3819840571525,109.39416784478,109.37792279461,109.38604531969499,119584847.0,,1.0,0.8122525085,109.10175694172
14,6179710,2011-05-20,109.10987946680501,109.39262456501385,108.32199453356002,108.5372414483125,108.52505766068501,108.53318018577001,108.54130271085499,182638302.0,,1.0,0.8122525085,108.83371361391501
15,6179710,2011-05-23,107.20108607182999,108.55551712975375,106.884307593515,107.2538824848825,107.26606627251,107.24982122233999,107.257943747425,168799987.0,,1.0,0.8122525085,107.322923948105
